title,price,description,Año de fabricación,Kilometraje,Transmisión,Combustible,Cilindrada,Placa,Categoría,Marca,Modelo,Número de puertas,Tracción,Color,Número cilindros,link
Jeep Cherokee Limited 2012,16000.0,"Con suspensión nueva OLD MAND EMU, AROS NUEVOS ICON, LLANTAS NUEVAS BF GOODRICH, GANCHO DE REMOLQUE/BICICLETA",2012,124000.0,Automática,Dual,3700.0,Par,Camionetas Suv,Jeep,CHEROKEE LIMITED,5,4x4,Blanco,6,https://neoauto.com/auto/usado/jeep-cherokee-limited-2012-1688305
Bmw 316i 2013,15000.0,"Bmw 316i 2012 modelo 2013, asientos de cuero, secuencial, único dueño, 54200 km, llantas nuevas, miraflores. Precio: $15000",2013,54200.0,Automática - Secuencial,Gasolina,1600.0,Impar,Sedan,Bmw,316i,4,Posterior,Blanco,4,https://neoauto.com/auto/usado/bmw-316i-2013-1665486
Porsche Cayenne Turbo 2007,21500.0,"Porsche cayenne turbo, version full. Excelente estado. Aros nuevos ",2007,,Automática - Secuencial,Gasolina-Híbrido,4500.0,Impar,Camionetas Suv,Porsche,CAYENNE TURBO,5,,Plata,8,https://neoauto.com/auto/usado/porsche-cayenne-turbo-2007-1688286
Toyota Rav4 2008,11000.0,"Camioneta toyota rav4 AÑO 2008, perfecto estado, unico dueño ",2008,,Automática,Gasolina,,Par,Camionetas Suv,Toyota,RAV4,5,,Café,,https://neoauto.com/auto/usado/toyota-rav4-2008-1688284
Mitsubishi L200 2022,37500.0,"Camioneta en excelente estado, único dueño, poco recorrido de kilometraje, lunas y pestillos eléctricos cuenta con accesorios extras como: Luna polarizada, Jaula interior certificada, Barra antivuelco de tolva con malla y accesorio para pico, pala, P...Ver más",2022,1254.0,Mecánica,Diesel,2442.0,Impar,Pick Up,Mitsubishi,L200,5,4x4,Plata,4,https://neoauto.com/auto/usado/mitsubishi-l200-2022-1688248
Volvo Xc-60 2021,41500.0,"Volvo XC60 version T5 MOMENTUM PRO con 41000km año 2020 en perfecto estado. Motor 2.0 turbo, tracción AWD. Unico dueño. Totalmente equipada, asientos de cuero, moonroof, todo electrico, parlantes Harman Kardon con subwoofer de fabrica, sistema de nag...Ver más",2021,41000.0,Automática - Secuencial,Gasolina,2000.0,Par,Camionetas Suv,Volvo,XC-60,5,AWD,Verde Petroleo,5,https://neoauto.com/auto/usado/volvo-xc-60-2021-1688264
Nissan Pathfinder 2006,10900.0,"Camioneta 100% operativa, estado de conservación 9.5/10, puertas y vidrios electricos, caja reductora manual, trato directo con propietario, llantas al 90%",2006,170000.0,Automática,Gasolina,3500.0,Impar,Camionetas Suv,Nissan,PATHFINDER,5,4x4,Beige,6,https://neoauto.com/auto/usado/nissan-pathfinder-2006-1688252
Jac Spazio 2013,6400.0,"AUTO JAC NEGRO MODELO SPAZIO, FABRICACION 2012, KM [****]CC, DUAL GLP Y GASOLINA, USO PARTICULAR, TRANSMISION MECANICA, UBICADO EN LA MOLINA, COSTO $6400, MANTENIMIENTO RECIENTE. INFOR [****]",2013,73000.0,Mecánica,Dual,1500.0,Impar,Sedan,Jac,SPAZIO,4,4x2,Negro,,https://neoauto.com/auto/usado/jac-spazio-2013-1688237
Honda Cr-v 2010,13900.0,AÑO 2010 MODELO 2010 AUTOMATICA VERSION 4WD CONSERVADISIMA ASIENTOS CUERO ARO 17 LLANTAS NUEVAS SOAT REVISION TECNICA ,2010,65000.0,Automática,Gasolina,2400.0,Impar,Camionetas Suv,Honda,CR-V,5,4WD,Gris Metálico,4,https://neoauto.com/auto/usado/honda-cr-v-2010-1688225
Toyota Yaris 2018,12500.0,"Vehículo en muy buen estado de conservación, modelo GLI,automática, full equipo, con aire acondicionado, lunas y espejos eléctricos. Servicio de mantenimiento en concesionario Toyota. Único dueño. Precio a tratar.",2018,103000.0,Automática - Secuencial,Gasolina,1300.0,Par,Sedan,Toyota,YARIS,4,Delantera,Negro,4,https://neoauto.com/auto/usado/toyota-yaris-2018-1688195
