,price,Año de fabricación,Kilometraje,Transmisión,Combustible,Cilindrada,Categoría,Marca,Tracción,Número cilindros,link,cluster
433,29100.0,2018.0,57500.0,Automática,Gasolina,2000.0,Camionetas Suv,Volkswagen,4x2,4.0,https://neoauto.com/auto/usado/volkswagen-tiguan-2018-1684629,2
434,25800.0,2022.0,13000.0,Mecánica,Gasolina,2000.0,Sedan,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-3-2022-1684645,2
435,20900.0,2018.0,36000.0,Automática,Gasolina,2000.0,Sedan,Subaru,AWD,4.0,https://neoauto.com/auto/usado/subaru-impreza-2018-1684709,2
436,30100.0,2020.0,36500.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-santa-fe-2020-1684714,2
437,23700.0,2021.0,19000.0,Automática,Gasolina,2000.0,Sedan,Toyota,4x2,4.0,https://neoauto.com/auto/usado/toyota-corolla-2021-1684715,2
438,20100.0,2020.0,18092.0,Mecánica,Gasolina,2000.0,Sedan,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-cerato-2020-1684731,2
439,17500.0,2018.0,55592.0,Automática,Gasolina,2000.0,Hatchback,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-3-2018-1684738,1
440,23000.0,2016.0,26000.0,Automática,Gasolina,2000.0,Hatchback,Audi,4x2,4.0,https://neoauto.com/auto/usado/audi-a3-hb-2016-1684753,2
441,14700.0,2022.0,4000.0,Mecánica,Gasolina,2000.0,Pick Up,Volkswagen,4x2,4.0,https://neoauto.com/auto/usado/volkswagen-saveiro-2022-1684832,3
442,25000.0,2017.0,26738.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-santa-fe-2017-1684926,2
443,34900.0,2022.0,40500.0,Automática,Gasolina,2000.0,Camionetas Suv,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-cx-5-2022-1684938,2
444,10900.0,2016.0,38396.0,Mecánica,Gasolina,2000.0,Hatchback,Suzuki,4x2,4.0,https://neoauto.com/auto/usado/suzuki-swift-2016-1684947,1
445,19000.0,2014.0,97500.0,Automática,Gasolina,2000.0,Camionetas Suv,Subaru,AWD,4.0,https://neoauto.com/auto/usado/subaru-forester-2014-1684948,1
446,26200.0,2017.0,97000.0,Automática,Gasolina,2000.0,Camionetas Suv,Honda,4x2,4.0,https://neoauto.com/auto/usado/honda-cr-v-2017-1684955,1
447,19400.0,2019.0,33323.0,Automática,Gasolina,2000.0,Sedan,Toyota,4x2,4.0,https://neoauto.com/auto/usado/toyota-corolla-2019-1685037,2
448,16000.0,2018.0,73812.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Ford,4x2,4.0,https://neoauto.com/auto/usado/ford-ecosport-2018-1685049,1
449,21200.0,2017.0,82358.0,Automática,Gasolina,2000.0,Camionetas Suv,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-cx-5-2017-1685155,1
450,12300.0,2015.0,50623.0,Automática,Gasolina,2000.0,Sedan,Toyota,4x2,4.0,https://neoauto.com/auto/usado/toyota-yaris-2015-1685159,1
451,15400.0,2022.0,2627.0,Mecánica,Gasolina,2000.0,Sedan,Nissan,4x2,4.0,https://neoauto.com/auto/usado/nissan-versa-2022-1685170,3
452,24400.0,2019.0,43802.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-cx-5-2019-1685173,2
453,15300.0,2015.0,51661.0,Automática,Gasolina,2000.0,Sedan,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-3-2015-1685200,1
454,13500.0,2015.0,56922.0,Mecánica,Gasolina,2000.0,Sedan,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-elantra-2015-1685203,1
455,15000.0,2018.0,44713.0,Mecánica,Gasolina,2000.0,Hatchback,Toyota,4x2,4.0,https://neoauto.com/auto/usado/toyota-auris-2018-1685445,1
456,21400.0,2017.0,62017.0,Automática,Gasolina,2000.0,Deportivo,Mercedes Benz,4x2,4.0,https://neoauto.com/auto/usado/mercedes-benz-clase-a-2017-1685565,1
457,24100.0,2019.0,29579.0,Automática,Gasolina,2000.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-tucson-2019-1685602,2
458,26700.0,2017.0,29872.0,Automática,Gasolina,2000.0,Camionetas Suv,Chevrolet,4x4,4.0,https://neoauto.com/auto/usado/chevrolet-traverse-2017-1685625,2
459,14400.0,2022.0,26066.0,Mecánica,Gas GLP,2000.0,Camionetas Suv,Volkswagen,4x2,4.0,https://neoauto.com/auto/usado/volkswagen-crossfox-2022-1685798,3
460,13500.0,2017.0,45199.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Volkswagen,4x2,4.0,https://neoauto.com/auto/usado/volkswagen-crossfox-2017-1686054,1
461,11900.0,2013.0,46564.0,Mecánica,Gasolina,2000.0,Sedan,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-cerato-2013-1686064,1
462,14800.0,2014.0,51079.0,Mecánica,Gasolina,2000.0,Sedan,Honda,4x2,4.0,https://neoauto.com/auto/usado/honda-civic-2014-1686075,1
463,23600.0,2020.0,20000.0,Automática,Gasolina,2000.0,Camionetas Suv,Jeep,4x2,4.0,https://neoauto.com/auto/usado/jeep-renegade-2020-1686083,2
464,17000.0,2020.0,26000.0,Mecánica,Gas GLP,2000.0,Sedan,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-elantra-2020-1686141,3
465,11800.0,2013.0,84081.0,Automática,Gasolina,2000.0,Camionetas Suv,Renault,4x2,4.0,https://neoauto.com/auto/usado/renault-koleos-2013-1686149,0
466,22100.0,2016.0,44561.0,Automática,Gasolina,2000.0,Camionetas Suv,Subaru,4x4,4.0,https://neoauto.com/auto/usado/subaru-all-new-outback-2016-1686275,1
467,24700.0,2020.0,24663.0,Automática,Gasolina,2000.0,Sedan,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-3-2020-1686284,2
468,17000.0,2015.0,44221.0,Automática,Gasolina,2000.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-tucson-2015-1686299,1
469,12100.0,2016.0,56340.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Renault,4x2,4.0,https://neoauto.com/auto/usado/renault-stepway-2016-1686301,1
470,9800.0,2021.0,16842.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Suzuki,4x2,4.0,https://neoauto.com/auto/usado/suzuki-s-presso-2021-1686356,3
471,23900.0,2017.0,45985.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-santa-fe-2017-1686486,2
472,23700.0,2021.0,20394.0,Automática,Gasolina,2000.0,Hatchback,Subaru,4x4,4.0,https://neoauto.com/auto/usado/subaru-xv-2021-1686489,2
473,18400.0,2020.0,11822.0,Automática,Gasolina,2000.0,Sedan,Nissan,4x2,4.0,https://neoauto.com/auto/usado/nissan-sentra-2020-1686510,3
474,12800.0,2018.0,12942.0,Mecánica,Gasolina,2000.0,Sedan,Suzuki,4x2,4.0,https://neoauto.com/auto/usado/suzuki-ciaz-2018-1686518,3
475,21700.0,2016.0,70895.0,Automática,Gasolina,2000.0,Camionetas Suv,Honda,4x2,4.0,https://neoauto.com/auto/usado/honda-cr-v-2016-1686581,1
476,15500.0,2022.0,20765.0,Mecánica,Gas GLP,2000.0,Camionetas Suv,Jac,4x2,4.0,https://neoauto.com/auto/usado/jac-js3-2022-1686585,3
477,20600.0,2020.0,43449.0,Mecánica,Gasolina,2000.0,Camionetas Suv,Mazda,4x2,4.0,https://neoauto.com/auto/usado/mazda-cx-3-2020-1686588,2
478,10900.0,2020.0,14053.0,Mecánica,Gasolina,2000.0,Sedan,Chevrolet,4x2,4.0,https://neoauto.com/auto/usado/chevrolet-sail-2020-1686684,3
479,12500.0,2022.0,19182.0,Mecánica,Gasolina,2000.0,Hatchback,Kia,4x2,4.0,https://neoauto.com/auto/usado/kia-picanto-2022-1686685,3
480,25100.0,2020.0,5156.0,Automática,Gas GLP,2000.0,Camionetas Suv,Hyundai,4x2,4.0,https://neoauto.com/auto/usado/hyundai-tucson-2020-1686691,2
